2026-08-16 18:21:02 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:24:52 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:53 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:54 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:55 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:56 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:57 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:58 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:59 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:00 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:01 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:02 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:03 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:04 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:05 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:06 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:07 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:08 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:25:09 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
